fna,gna,nam,fun,fdc,sag,latitud,longitud
Estación Camet,Estación,Camet,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.88984635799990031),-57.60516063
Estación Cobo,Estación,Cobo,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.80130007899990119),-57.630351
Estación Yraizoz,Estación,Yraizoz,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.13878192300000336),-57.98543761
Estación Mar del Plata,Estación,Mar del Plata,6,IGN/Trenes Argentinos,IGN,-37.98790426599990155),-57.56564295
Estación Comandante Nicanor Otamendi,Estación,Comandante Nicanor Otamendi,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.11499516800000009),-57.84038765
Estación Chapadmalal,Estación,Chapadmalal,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.04161176299989933),-57.71739643
Parada Policlínico,Parada,Policlínico,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.92534708899999885),-57.92122557
Parada Diagonal 73,Parada,Diagonal 73,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.92026839499990132),-57.91905693
Parada Arquitectura,Parada,Arquitectura,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.90474613500000345),-57.9427749
Estación Florencio Varela,Estación,Florencio Varela,6,IGN/Trenes Argentinos,IGN,-34.81105864300000263),-58.273951
Estación Bosques,Estación,Bosques,6,IGN/Trenes Argentinos,IGN,-34.81926144300000203),-58.23046066
Estación Quilmes,Estación,Quilmes,6,IGN/Trenes Argentinos,IGN,-34.72460688999999689),-58.26058472
Estación Bernal,Estación,Bernal,6,IGN/Trenes Argentinos,IGN,-34.7092444709999981),-58.28039531
Estación Samborombón,Estación,Samborombón,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.21960428399999898),-58.28136162
Estación Gobernador Obligado,Estación,Gobernador Obligado,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.16320511999990117),-58.19865649
Estación Ángel Etcheverry,Estación,Ángel Etcheverry,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.02708249999989931),-58.07099425
Estación Ignacio Correas,Estación,Ignacio Correas,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.03284478699990245),-57.84255126
Estación Santa Sofía,Estación,Santa Sofía,6,IGN/Trenes Argentinos,IGN,-34.82506132399989696),-58.21346768
Estación Puerto La Plata,Estación,Puerto La Plata,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.8655317050000022),-57.89782212
Estación Ringuelet,Estación,Ringuelet,6,IGN/Trenes Argentinos,IGN,-34.88146296499999721),-57.99595091
Estación Coronel Brandsen,Estación,Coronel Brandsen,6,IGN/Trenes Argentinos,IGN,-35.16772299000000146),-58.23194424
Estación Gómez,Estación,Gómez,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.06751938299989746),-58.16660355
Estación Olidén,Estación,Olidén,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.18453780999990244),-57.94870646
Estación Ranelagh,Estación,Ranelagh,6,IGN/Trenes Argentinos,IGN,-34.7893197829998968),-58.20353322
Estación Sourigues,Estación,Sourigues,6,IGN/Trenes Argentinos,IGN,-34.80719412599999885),-58.21319422
Estación Pereyra,Estación,Pereyra,6,IGN/Trenes Argentinos,IGN,-34.83662448799999822),-58.09480018
Estación Villa Elisa,Estación,Villa Elisa,6,IGN/Trenes Argentinos,IGN,-34.8497499339999024),-58.07510746
Estación City Bell,Estación,City Bell,6,IGN/Trenes Argentinos,IGN,-34.86539512699989984),-58.04258714
Estación Gonnet,Estación,Gonnet,6,IGN/Trenes Argentinos,IGN,-34.88004096299989953),-58.01059569
Estación Abasto,Estación,Abasto,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.98357942099990225),-58.0922791
Estación Melchor Romero,Estación,Melchor Romero,4,IGN/Ministerio de Transporte de la Nación,IGN,-34.94746284799990121),-58.05296827
Estación Arana,Estación,Arana,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.99733348000000177),-57.89012221
Estación Zeballos,Estación,Zeballos,6,IGN/Trenes Argentinos,IGN,-34.8110725630000033),-58.25676662
Estación Tolosa,Estación,Tolosa,6,IGN/Trenes Argentinos,IGN,-34.89086832200000288),-57.96796853
Estación Rufino de Elizalde,Estación,Rufino de Elizalde,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.95787263599989814),-57.94350958
Estación Buchanan,Estación,Buchanan,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.97612272299989655),-58.22636263
Estación Gutiérrez,Estación,Gutiérrez,6,IGN/Trenes Argentinos,IGN,-34.83387599199990348),-58.18555375
Estación Ezpeleta,Estación,Ezpeleta,6,IGN/Trenes Argentinos,IGN,-34.75175058899999669),-58.23418814
Estación Berazategui,Estación,Berazategui,6,IGN/Trenes Argentinos,IGN,-34.76387463100000019),-58.20877565
Estación Villa España,Estación,Villa España,6,IGN/Trenes Argentinos,IGN,-34.77438950199999823),-58.19504883
Estación Plátanos,Estación,Plátanos,6,IGN/Trenes Argentinos,IGN,-34.78228101500000236),-58.17077183
Estación Guillermo Enrique Hudson,Estación,Guillermo Enrique Hudson,6,IGN/Trenes Argentinos,IGN,-34.79105351499990206),-58.15531417
Parada Informática,Parada,Informática,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.90303363299990025),-57.93719078
Parada Medicina,Parada,Medicina,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.90890889500000327),-57.92796729
Estación La Plata,Estación,La Plata,6,IGN/Trenes Argentinos,IGN,-34.90369900400000347),-57.95045087
Estación José Hernández,Estación,José Hernández,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.90706791299989931),-58.01886494
Estación Arturo Seguí,Estación,Arturo Seguí,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.88860820799990137),-58.12694454
Estación Gorina,Estación,Gorina,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.90879589600000088),-58.04084718
Estación Gobernador Monteverde,Estación,Gobernador Monteverde,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.79653822200000235),-58.27714526
Estación Poblet,Estación,Poblet,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.05834311199990339),-57.95264524
Estación Gómez de la Vega,Estación,Gómez de la Vega,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.09027178699989946),-58.1373845
"Apeadero km 34,5",Apeadero,"km 34,5",6,IGN/Trenes Argentinos,IGN,-34.6801427290000035),-58.76025517
Estación José Ingenieros,Estación,José Ingenieros,6,IGN/Trenes Argentinos,IGN,-34.71069343900000348),-58.53725118
Estación Rafael Castillo,Estación,Rafael Castillo,6,IGN/Trenes Argentinos,IGN,-34.69960449699990335),-58.626278
Estación Isidro Casanova,Estación,Isidro Casanova,6,IGN/Trenes Argentinos,IGN,-34.70460752099999979),-58.58736049
Estación Merlo,Estación,Merlo,6,IGN/Trenes Argentinos,IGN,-34.66448588499999772),-58.72757697
Estación Ingeniero S. Brian,Estación,Ingeniero S. Brian,6,IGN/Trenes Argentinos,IGN,-34.65809196000000014),-58.573144
Estación San Antonio de Padua,Estación,San Antonio de Padua,6,IGN/Trenes Argentinos,IGN,-34.66567844899999784),-58.69884384
Estación Castelar,Estación,Castelar,6,IGN/Trenes Argentinos,IGN,-34.6523395330000028),-58.64293911
Estación San Justo,Estación,San Justo,6,IGN/Trenes Argentinos,IGN,-34.67387149500000021),-58.5559685
Estación Paso del Rey,Estación,Paso del Rey,6,IGN/Trenes Argentinos,IGN,-34.65813809699989889),-58.76265081
Estación Canning,Estación,Canning,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.87759470200000322),-58.50788769
Estación Carlos Spegazinni,Estación,Carlos Spegazinni,6,IGN/Trenes Argentinos,IGN,-34.90996393799999709),-58.59446872
Estación Tapiales,Estación,Tapiales,6,IGN/Trenes Argentinos,IGN,-34.70235097099990185),-58.51165412
Estación Libertad,Estación,Libertad,6,IGN/Trenes Argentinos,IGN,-34.69203405799989781),-58.68644769
Estación Haedo,Estación,Haedo,6,IGN/Trenes Argentinos,IGN,-34.64455769300000298),-58.59186336
Estación Monte Grande,Estación,Monte Grande,6,IGN/Trenes Argentinos,IGN,-34.8149258089999023),-58.47076832
Estación La Salada,Estación,La Salada,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.71883898999990237),-58.47286918
Estación Villa Madero,Estación,Villa Madero,6,IGN/Trenes Argentinos,IGN,-34.68432475200000198),-58.49310039
Estación Haedo,Estación,Haedo,6,IGN/Trenes Argentinos,IGN,-34.64508635199999986),-58.59194417
Estación J. Villegas,Estación,J. Villegas,6,IGN/Trenes Argentinos,IGN,-34.70906932599999806),-58.55194047
Estación Merlo Gómez,Estación,Merlo Gómez,6,IGN/Trenes Argentinos,IGN,-34.69696218299999657),-58.6475102
Estación Marinos del Crucero General Belgrano,Estación,Marinos del Crucero General Belgrano,6,IGN/Trenes Argentinos,IGN,-34.70872337799990248),-58.73097586
Estación Ciudadela,Estación,Ciudadela,6,IGN/Trenes Argentinos,IGN,-34.63992803400000042),-58.541304
Estación Ramos Mejía,Estación,Ramos Mejía,6,IGN/Trenes Argentinos,IGN,-34.6404550149999011),-58.5642715
Estación Ituzaingó,Estación,Ituzaingó,6,IGN/Trenes Argentinos,IGN,-34.65960128799999751),-58.66626209
Estación Morón,Estación,Morón,6,IGN/Trenes Argentinos,IGN,-34.64816100699989931),-58.61969198
Estación Tristán Suárez,Estación,Tristán Suárez,6,IGN/Trenes Argentinos,IGN,-34.88944172000000066),-58.56786124
Estación Unión Ferroviaria,Estación,Unión Ferroviaria,6,IGN/Trenes Argentinos,IGN,-34.87019808199990223),-58.54347904
Estación Ezeiza,Estación,Ezeiza,6,IGN/Trenes Argentinos,IGN,-34.8539379289999971),-58.52289427
Estación Querandí,Estación,Querandí,6,IGN/Trenes Argentinos,IGN,-34.72235219399990314),-58.53079794
Estación Laferrere,Estación,Laferrere,6,IGN/Trenes Argentinos,IGN,-34.75064756099990149),-58.58442404
Estación Aldo Bonzi,Estación,Aldo Bonzi,6,IGN/Trenes Argentinos,IGN,-34.71077849200000287),-58.51443178
Estación Tablada,Estación,Tablada,6,IGN/Trenes Argentinos,IGN,-34.69283895099989934),-58.528518
Estación González Catán,Estación,González Catán,6,IGN/Trenes Argentinos,IGN,-34.77178973899999903),-58.64681791
Estación 20 de Junio,Estación,20 de Junio,6,IGN/Trenes Argentinos,IGN,-34.7803415729999017),-58.73800242
Estación Ingeniero Budge,Estación,Ingeniero Budge,4,IGN/Ministerio de Transporte de la Nación,IGN,-34.71911204100000248),-58.46323991
Estación Km 34,Estación,Km 34,6,IGN/Trenes Argentinos,IGN,-34.743502508999903),-58.46507499
Estación María S. de Mendeville,Estación,María S. de Mendeville,6,IGN/Trenes Argentinos,IGN,-34.71237946299989829),-58.52419823
Parada Independencia,Parada,Independencia,6,IGN/Trenes Argentinos,IGN,-34.76024640899989748),-58.61560389
Estación María Eva Duarte,Estación,María Eva Duarte,6,IGN/Trenes Argentinos,IGN,-34.75621029900000281),-58.60071914
Estación Ingeniero Castello,Estación,Ingeniero Castello,6,IGN/Trenes Argentinos,IGN,-34.71034089199999784),-58.50592296
Estación Marinos del Fournier,Estación,Marinos del Fournier,6,IGN/Trenes Argentinos,IGN,-34.69010322599999796),-58.5075979
Estación Km 12,Estación,Km 12,6,IGN/Trenes Argentinos,IGN,-34.70998530299989682),-58.50611567
Estación P. P. Turner,Estación,P. P. Turner,6,IGN/Trenes Argentinos,IGN,-34.73368193299999973),-58.47418463
Estación de Elía,Estación,de Elía,6,IGN/Trenes Argentinos,IGN,-34.70989419499989737),-58.5060128
Estación El Jagüel,Estación,El Jagüel,6,IGN/Trenes Argentinos,IGN,-34.83326488099989859),-58.49635647
Estación Santa Catalina,Estación,Santa Catalina,6,IGN/Trenes Argentinos,IGN,-34.7803042020000035),-58.43755128
Estación Llavallol,Estación,Llavallol,6,IGN/Trenes Argentinos,IGN,-34.79705916599989735),-58.43012368
Estación Luis Guillón,Estación,Luis Guillón,6,IGN/Trenes Argentinos,IGN,-34.80323980099999659),-58.44874284
Estación Juan XXIII,Estación,Juan XXIII,6,IGN/Trenes Argentinos,IGN,-34.77122035400000044),-58.44429488
Estación San Miguel,Estación,San Miguel,6,IGN/Trenes Argentinos,IGN,-34.54424166799999796),-58.71297061
Estación Jose C. Paz,Estación,Jose C. Paz,6,IGN/Trenes Argentinos,IGN,-34.51905933999999831),-58.75062898
Estación Moreno,Estación,Moreno,6,IGN/Trenes Argentinos,IGN,-34.65030321099990118),-58.79032705
Estación La Reja,Estación,La Reja,6,IGN/Trenes Argentinos,IGN,-34.63981023400000225),-58.82798916
Estación Francisco Álvarez,Estación,Francisco Álvarez,6,IGN/Trenes Argentinos,IGN,-34.63225892100000181),-58.85497479
Estación Piñero,Estación,Piñero,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.51547550000000086),-58.77074534
Estación Glew,Estación,Glew,6,IGN/Trenes Argentinos,IGN,-34.88857184499990183),-58.38384973
Estación Turdera,Estación,Turdera,6,IGN/Trenes Argentinos,IGN,-34.79503191100000237),-58.40818228
Estación Burzaco,Estación,Burzaco,6,IGN/Trenes Argentinos,IGN,-34.82510882799989815),-58.39149738
Estación Longchamps,Estación,Longchamps,6,IGN/Trenes Argentinos,IGN,-34.85954380300000111),-58.38736314
Estación Claypole,Estación,Claypole,6,IGN/Trenes Argentinos,IGN,-34.80134191299990221),-58.33818491
Estación Rafael Calzada,Estación,Rafael Calzada,6,IGN/Trenes Argentinos,IGN,-34.79679016899999766),-58.35910726
Estación Temperley,Estación,Temperley,6,IGN/Trenes Argentinos,IGN,-34.77601557399999876),-58.39643124
Estación Adrogué,Estación,Adrogué,6,IGN/Trenes Argentinos,IGN,-34.79809074299989646),-58.39436259
Estación José Mármol,Estación,José Mármol,6,IGN/Trenes Argentinos,IGN,-34.79203095399999768),-58.38123416
Estación Lomas de Zamora,Estación,Lomas de Zamora,6,IGN/Trenes Argentinos,IGN,-34.76116102799989704),-58.39736722
Estación Hospital Español,Estación,Hospital Español,6,IGN/Trenes Argentinos,IGN,-34.78616999399999798),-58.40810515
Estación Dante Ardigó,Estación,Dante Ardigó,6,IGN/Trenes Argentinos,IGN,-34.8089287719999021),-58.30269815
Estación Villa Rosa,Estación,Villa Rosa,6,IGN/Ferrovías,IGN,-34.41665537200000102),-58.87164569
Estación Ingeniero Maschwitz,Estación,Ingeniero Maschwitz,6,IGN/Trenes Argentinos,IGN,-34.38305580400000139),-58.73646279
Estación Zelaya,Estación,Zelaya,6,IGN/Trenes Argentinos,IGN,-34.37021048199989792),-58.86943542
Estación Matheu,Estación,Matheu,6,IGN/Trenes Argentinos,IGN,-34.38290034999990041),-58.82975362
Estación Escobar,Estación,Escobar,6,IGN/Trenes Argentinos,IGN,-34.34960634299989835),-58.79505244
Estación Del Viso,Estación,Del Viso,6,IGN/Ferrovías,IGN,-34.45370729999999782),-58.79631464
Estación Garín,Estación,Garín,6,IGN/Trenes Argentinos,IGN,-34.42162273099999936),-58.73678652
Estación Río Luján,Estación,Río Luján,6,IGN/Trenes Argentinos,IGN,-34.27798571599989685),-58.89043619
Estación Maquinista Savio,Estación,Maquinista Savio,6,IGN/Trenes Argentinos,IGN,-34.40692300900000333),-58.77209132
Estación Benavídez,Estación,Benavídez,6,IGN/Trenes Argentinos,IGN,-34.40936091799989782),-58.68464192
Estación López Camelo,Estación,López Camelo,6,IGN/Trenes Argentinos,IGN,-34.4469700089999975),-58.67743472
Estación A. Sordeaux,Estación,A. Sordeaux,6,IGN/Ferrovías,IGN,-34.50291933499990193),-58.66656749
Estación Ingeniero P. Nogués,Estación,Ingeniero P. Nogués,6,IGN/Ferrovías,IGN,-34.49366865299990081),-58.70637748
Estación Gran Bourg,Estación,Gran Bourg,6,IGN/Ferrovías,IGN,-34.48530781999990324),-58.7251112
Estación Villa de Mayo,Estación,Villa de Mayo,6,IGN/Ferrovías,IGN,-34.50348914900000352),-58.68079482
Estación Tortuguitas,Estación,Tortuguitas,6,IGN/Ferrovías,IGN,-34.47064956599999874),-58.75795656
Estación Manuel Alberti,Estación,Manuel Alberti,6,IGN/Ferrovías,IGN,-34.46276783199989779),-58.77562188
Estación Tierras Altas,Estación,Tierras Altas,6,IGN/Ferrovías,IGN,-34.47904752299999842),-58.73949633
Estación Los Polvorines,Estación,Los Polvorines,6,IGN/Ferrovías,IGN,-34.49905642299999897),-58.6947192
Estación Don Bosco,Estación,Don Bosco,6,IGN/Trenes Argentinos,IGN,-34.70329601099999906),-58.29616176
Estación Wilde,Estación,Wilde,6,IGN/Trenes Argentinos,IGN,-34.69751000600000168),-58.31116892
Estación Villa Domínico,Estación,Villa Domínico,6,IGN/Trenes Argentinos,IGN,-34.69153836699999971),-58.32550569
Estación Ingeniero Urcelay,Estación,Ingeniero Urcelay,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.5934994030000027),-60.39027326
Estación Ortiz Basualdo,Estación,Ortiz Basualdo,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.02942149999999799),-60.65480449
Apeadero 4 de Noviembre,Apeadero,4 de Noviembre,4,IGN/Ministerio de Transporte de la Nación,IGN,-34.15811826600000245),-60.80341234
Estación Fontezuela,Estación,Fontezuela,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.91411156099999857),-60.4626349
Estación Mariano H. Alfonzo,Estación,Mariano H. Alfonzo,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.91349877100000043),-60.83741918
Estación Arroyo del Medio,Estación,Arroyo del Medio,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.58645741499999815),-60.77421199
Estación Guerrico,Estación,Guerrico,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.67378490499989852),-60.39935098
Estación Conesa,Estación,Conesa,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.59639001099999689),-60.3565552
Estación Rancagua,Estación,Rancagua,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.03266740299989834),-60.50741265
Estación Arroyo Dulce,Estación,Arroyo Dulce,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.09995436299990246),-60.40618327
Estación Carabelas,Estación,Carabelas,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.0386719520000014),-60.86670722
Estación Roberto Cano,Estación,Roberto Cano,4,IGN/Ministerio de Transporte de la Nación,IGN,-34.08505501399999815),-60.66986221
Estación Pergamino,Estación,Pergamino,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.89874979799999721),-60.56336931
Estación Tambo Nuevo,Estación,Tambo Nuevo,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.96708034400000287),-60.57959219
Estación Francisco Ayerza,Estación,Francisco Ayerza,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.83700879899990355),-60.56188154
Estación La Violeta,Estación,La Violeta,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.73488220499999812),-60.17085478
Estación Pergamino,Estación,Pergamino,6,IGN/Ministerio de Transporte de la Nación,IGN,-33.88954592700000035),-60.56847976
Estación Urquiza,Estación,Urquiza,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.92629506299989828),-60.38956594
Estación Pearson,Estación,Pearson,6,IGN/Ministerio de Transporte de la Nación,IGN,-33.65142370299999897),-60.89424529
Estación Manuel Ocampo,Estación,Manuel Ocampo,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.7627857419998989),-60.64702731
Estación Pinzón,Estación,Pinzón,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.99234490799999975),-60.73257737
Estación 12 de Agosto,Estación,12 de Agosto,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.78247630199999918),-60.59299324
Estación Mariano Benítez,Estación,Mariano Benítez,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.70793110599989717),-60.58739157
Estación Viña,Estación,Viña,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.99314435000000145),-60.22856154
Estación Acevedo,Estación,Acevedo,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.75344191999990073),-60.44359679
Estación Maguire,Estación,Maguire,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.95470147799989746),-60.29544181
Estación Todd,Estación,Todd,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.03382651300000106),-60.15718221
Estación Juan G. Pujol,Estación,Juan G. Pujol,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.67255321300000048),-60.29457318
Estación El Socorro,Estación,El Socorro,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.66145290799990164),-60.70588236
Estación Banfield,Estación,Banfield,6,IGN/Trenes Argentinos,IGN,-34.74374827100000118),-58.39549621
Estación Remedios de Escalada,Estación,Remedios de Escalada,6,IGN/Trenes Argentinos,IGN,-34.72680766999999946),-58.39379999
Estación Fiorito,Estación,Fiorito,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.70546113500000018),-58.44095344
Estación Villa Caraza,Estación,Villa Caraza,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.69807670599990246),-58.42920285
Estación Lanús,Estación,Lanús,6,IGN/Trenes Argentinos,IGN,-34.70731114400000195),-58.39080658
Estación El Palomar,Estación,El Palomar,6,IGN/Trenes Argentinos,IGN,-34.60484325099999836),-58.59615745
Estación Hurlinghan,Estación,Hurlinghan,6,IGN/Trenes Argentinos,IGN,-34.5910117879999035),-58.63229734
Estación Caseros,Estación,Caseros,6,IGN/Trenes Argentinos,IGN,-34.60474238500000155),-58.56511288
Estación J. M. Bosch,Estación,J. M. Bosch,6,IGN/Metrovías,IGN,-34.59003697699999691),-58.57197839
Estación Campodónico,Estación,Campodónico,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.34773923599990297),-59.79231399
Estación Ariel,Estación,Ariel,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.53179899199989933),-59.92236489
Estación Eufemio Uballes,Estación,Eufemio Uballes,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.64321626799989673),-60.05379198
Estación Teniente Coronel Miñana,Estación,Teniente Coronel Miñana,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.80524773699990249),-60.18891031
Estación Azul,Estación,Azul,6,IGN/Trenes Argentinos,IGN,-36.78585213199990278),-59.85298275
Estación Nieves,Estación,Nieves,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.82856703600000259),-59.9904127
Estación Tapalqué,Estación,Tapalqué,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.34497221200000183),-60.04053854
Estación Sierras Bayas,Estación,Sierras Bayas,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.93925395000000123),-60.1609014
Estación Chillar,Estación,Chillar,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.3086232200000012),-59.98190317
Estación Tedín Uriburu,Estación,Tedín Uriburu,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.36888696199999771),-59.76380459
Estación Gardey,Estación,Gardey,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.28377439100000146),-59.35940126
Estación Vela,Estación,Vela,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.39922092300000145),-59.51155822
Estación Bernardo Vera y Pintado,Estación,Bernardo Vera y Pintado,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.1970402199999981),-60.17354962
Estación Cacharí,Estación,Cacharí,6,IGN/Trenes Argentinos,IGN,-36.37337082799999877),-59.50714378
Estación Miramonte,Estación,Miramonte,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.30899285999989701),-59.43577156
Estación Ricardo Gaviña,Estación,Ricardo Gaviña,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.44454585399999758),-60.03917402
Estación Martín Colman,Estación,Martín Colman,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.40985689000000036),-59.14347385
Estación Chapaleofú,Estación,Chapaleofú,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.63992428800000312),-59.14834037
Estación Pardo,Estación,Pardo,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.24505048200000346),-59.3652605
Estación Parish,Estación,Parish,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.51839536300000333),-59.63403184
Estación Shaw,Estación,Shaw,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.62342366199990096),-59.72630774
Estación Vicente Pereda,Estación,Vicente Pereda,4,IGN/Ministerio de Transporte de la Nación,IGN,-36.69930033499999666),-59.78277503
Estación Lazzarino,Estación,Lazzarino,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.91984973400000314),-59.72031482
Estación Arroyo de los Huesos,Estación,Arroyo de los Huesos,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.02226574699989925),-59.56204459
Estación La Pastora,Estación,La Pastora,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.13831246599990266),-59.38849287
Desvío Cerro Chato,Desvío,Cerro Chato,4,IGN/Ministerio de Transporte de la Nación,IGN,-37.2715436639999993),-59.22904305
Estación Pablo Acosta,Estación,Pablo Acosta,4,IGN/Ministerio de Transporte de la Nación,IGN,-37.16054151000000161),-59.65193659
Estación Martín Fierro,Estación,Martín Fierro,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.23235111299990052),-59.82246114
Estación Crotto,Estación,Crotto,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.57755931700000218),-60.16803531
Estación Altona,Estación,Altona,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.47455088899990017),-60.12261283
Estación Tropezón,Estación,Tropezón,6,IGN/Metrovías,IGN,-34.59193521499999946),-58.559406
Estación Malaver,Estación,Malaver,6,IGN/Trenes Argentinos,IGN,-34.55741457499990332),-58.54778007
Estación Carapachay,Estación,Carapachay,6,IGN/Ferrovías,IGN,-34.52885224900000338),-58.53742485
Estación Vicealmirante E. Montes,Estación,Vicealmirante E. Montes,6,IGN/Ferrovías,IGN,-34.50406379599999696),-58.6199103
Estación Villa Adelina,Estación,Villa Adelina,6,IGN/Ferrovías,IGN,-34.52364291800000018),-58.54619974
Estación Munro,Estación,Munro,6,IGN/Ferrovías,IGN,-34.53175212199990085),-58.52382733
Estación Florida,Estación,Florida,6,IGN/Ferrovías,IGN,-34.53713424400000065),-58.51316635
Estación Lourdes,Estación,Lourdes,6,IGN/Metrovías,IGN,-34.59381546000000185),-58.54707595
Estación Coronel F. Lynch,Estación,Coronel F. Lynch,6,IGN/Metrovías,IGN,-34.59712345999999883),-58.52441973
Estación Villa Ballester,Estación,Villa Ballester,6,IGN/Trenes Argentinos,IGN,-34.55097932199989685),-58.55615648
Estación Coronel M. Chilavert,Estación,Coronel M. Chilavert,6,IGN/Trenes Argentinos,IGN,-34.54214753600000165),-58.56694726
Estación Boulogne Sur Mer,Estación,Boulogne Sur Mer,6,IGN/Ferrovías,IGN,-34.50875567799990051),-58.56523926
Estación Martín Coronado,Estación,Martín Coronado,6,IGN/Metrovías,IGN,-34.58902510799990182),-58.59102815
Estación General San Martín,Estación,General San Martín,6,IGN/Trenes Argentinos,IGN,-34.57370890300000355),-58.53178214
Estación San Andrés,Estación,San Andrés,6,IGN/Trenes Argentinos,IGN,-34.56366815999999886),-58.5404529
Estación Jose León Suárez,Estación,Jose León Suárez,6,IGN/Trenes Argentinos,IGN,-34.53459018299999883),-58.57605548
Estación Pablo Podestá,Estación,Pablo Podestá,6,IGN/Metrovías,IGN,-34.58842314599999668),-58.60704452
Estación Fernández Moreno,Estación,Fernández Moreno,6,IGN/Metrovías,IGN,-34.59559462999990131),-58.53535985
Estación Los Cardales,Estación,Los Cardales,6,IGN/Trenes Argentinos,IGN,-34.33097031900000218),-58.98749785
Estación Santa Coloma,Estación,Santa Coloma,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.43305989999989691),-59.02666763
