fna,gna,nam,fun,fdc,sag,latitud,longitud
Estación San Agustín,Estación,San Agustín,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.0196979780000035),-58.35512568
Estación El Moro,Estación,El Moro,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.10747972600000111),-58.5708869
Estación Las Nutrias,Estación,Las Nutrias,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.08103090600000229),-58.45782066
Estación Los Pinos,Estación,Los Pinos,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.93933772299990181),-58.32852732
Estación Bosch,Estación,Bosch,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.64656946400000237),-58.23967841
Estación Ramos Otero,Estación,Ramos Otero,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.54134448299989657),-58.34080321
Estación Irineo Portela,Estación,Irineo Portela,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.98299125300000156),-59.67322865
Estación Ingenerio Moneta,Estación,Ingenerio Moneta,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.93542540699999677),-59.74208025
Estación Alsina,Estación,Alsina,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.90949436599989752),-59.39204212
Estación Baradero,Estación,Baradero,6,IGN/Trenes Argentinos,IGN,-33.81948715600000099),-59.51716541
Estación Santa Coloma,Estación,Santa Coloma,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.06178822499990133),-59.55974877
Estación Villa Lía,Estación,Villa Lía,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.12043808100000319),-59.42940929
Estación Loma Verde,Estación,Loma Verde,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.27282867499999952),-58.40489361
Estación Altamirano,Estación,Altamirano,6,IGN/Trenes Argentinos,IGN,-35.3611527179999996),-58.15130672
Estación Jeppener,Estación,Jeppener,6,IGN/Trenes Argentinos,IGN,-35.27764843700000341),-58.19812474
Estación Doyle,Estación,Doyle,4,IGN/Ministerio de Transporte de la Nación,IGN,-33.90140682799989946),-59.81958201
Estación Santa Lucía,Estación,Santa Lucía,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.87745538000000067),-59.87439944
Estación Arrecifes,Estación,Arrecifes,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.06165980099999757),-60.09983652
Estación Pirovano,Estación,Pirovano,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.50654951399999959),-61.55949144
Estación Urdampilleta,Estación,Urdampilleta,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.43385506100000271),-61.41879788
Estación Vallimanca,Estación,Vallimanca,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.3432173989999967),-61.03179714
Estación Bolívar,Estación,Bolívar,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.23634957000000156),-61.10718986
Estación Recalde,Estación,Recalde,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.65131786599989994),-61.08671537
Estación Juan Francisco Ibarra,Estación,Juan Francisco Ibarra,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.34924219999989958),-61.25635031
Estación Espigas,Estación,Espigas,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.41161363599999845),-60.67474349
Estación Blancagrande,Estación,Blancagrande,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.5340028179999976),-60.8856406
Estación Paula,Estación,Paula,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.50394455099999647),-61.02415844
Estación Hale,Estación,Hale,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.00080090899999874),-60.85340712
Estación Unzué,Estación,Unzué,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.13752027700000014),-61.00790516
Estación Bonifacio,Estación,Bonifacio,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.80880348899999888),-62.24594955
Estación Coronel M. Freyre,Estación,Coronel M. Freyre,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.48526601999999741),-62.04288752
Estación La Copeta,Estación,La Copeta,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.76761908999999662),-61.98674743
Estación La Nevada,Estación,La Nevada,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.93668112200000309),-61.9621068
Estación Daireaux,Estación,Daireaux,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.60362525899999753),-61.7475409
Estación Coraceros,Estación,Coraceros,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.33759260200000085),-61.77342329
Estación Arboledas,Estación,Arboledas,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.88195874099989879),-61.48915834
Estación La Manuela,Estación,La Manuela,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.7414598330000004),-62.07173345
Estación Louge,Estación,Louge,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.93791566600000209),-61.66406151
Estación Mapis,Estación,Mapis,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.77194115500000038),-61.2856078
Estación La Larga,Estación,La Larga,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.67517668899999705),-61.9284026
Estación Álamos,Estación,Álamos,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.89925410299999697),-62.3597813
Estación Luro,Estación,Luro,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.64992765400000252),-62.11645
Estación Cuenca,Estación,Cuenca,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.20422175999990344),-62.76831122
Estación Hereford,Estación,Hereford,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.13274872599990317),-62.51223759
Estación Drysdale,Estación,Drysdale,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.30332857900000221),-62.64597322
Estación Carlos Tejedor,Estación,Carlos Tejedor,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.3884212529998976),-62.4220161
Estación Encina,Estación,Encina,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.12772094099999975),-62.39268565
Estación Colonia Seré,Estación,Colonia Seré,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.44020796099989923),-62.72742168
Estación Cerrito,Estación,Cerrito,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.46305112900000012),-62.85277392
Estación Virreyes,Estación,Virreyes,6,IGN/Trenes Argentinos,IGN,-34.4501554949998976),-58.55126116
Estación Victoria,Estación,Victoria,6,IGN/Trenes Argentinos,IGN,-34.45611430299990019),-58.54092874
Estación Punta Chica,Estación,Punta Chica,6,IGN/Trenes Argentinos,IGN,-34.45052566700000085),-58.52400082
Estación Martínez,Estación,Martínez,6,IGN/Trenes Argentinos,IGN,-34.48867701399999675),-58.49644947
Estación Béccar,Estación,Béccar,6,IGN/Trenes Argentinos,IGN,-34.46088433199999912),-58.52650251
Estación Las Barrancas,Estación,Las Barrancas,6,IGN/Trenes Argentinos,IGN,-34.47242346600000218),-58.49314224
Estación Juan Anchorena,Estación,Juan Anchorena,6,IGN/Trenes Argentinos,IGN,-34.48906453899999747),-58.48139045
Estación San Fernando C,Estación,San Fernando C,6,IGN/Trenes Argentinos,IGN,-34.44426541099989691),-58.55887861
Estación Marina Nueva,Estación,Marina Nueva,6,IGN/Trenes Argentinos,IGN,-34.44462513999999942),-58.53906767
Estación San Isidro R,Estación,San Isidro R,6,IGN/Trenes Argentinos,IGN,-34.4653685069999014),-58.50840605
Estación San Isidro C,Estación,San Isidro C,6,IGN/Trenes Argentinos,IGN,-34.47178138799999658),-58.51371073
Estación Acassuso,Estación,Acassuso,6,IGN/Trenes Argentinos,IGN,-34.47991184199999992),-58.50407074
Estación Lezama,Estación,Lezama,6,IGN/Trenes Argentinos,IGN,-35.87384584299999801),-57.8953167
Estación Sevigné,Estación,Sevigné,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.20159877899990164),-57.74473193
Estación Castelli,Estación,Castelli,6,IGN/Trenes Argentinos,IGN,-36.09304139799999689),-57.81049399
Estación Atilio Pessagno,Estación,Atilio Pessagno,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.80391443999999979),-57.78988304
Estación Monasterio,Estación,Monasterio,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.76378070100000173),-57.92522131
